customer_id,event,time
212,arrive,223.61647028487366
212,start,223.61647028487366
213,arrive,224.27991293095297
212,depart,224.39118149901162
213,start,224.39118149901162
213,depart,224.48978596314038
214,arrive,226.39193786885093
214,start,226.39193786885093
214,depart,226.6874021537601
215,arrive,226.83287250285935
215,start,226.83287250285935
216,arrive,226.9617613965695
215,depart,227.3662176645228
216,start,227.3662176645228
216,depart,227.50375919243587
217,arrive,228.04278778770723
217,start,228.04278778770723
217,depart,228.79605923581664
218,arrive,229.64963651679565
218,start,229.64963651679565
218,depart,229.99913988968552
219,arrive,230.72600631748358
219,start,230.72600631748358
220,arrive,231.5580286334619
219,depart,231.70041234912685
220,start,231.70041234912685
221,arrive,231.74080065513166
220,depart,232.05194877040066
221,start,232.05194877040066
222,arrive,232.0993394789886
223,arrive,232.26278322768923
224,arrive,232.44039809024085
225,arrive,232.54106911178573
221,depart,233.11277904571398
222,start,233.11277904571398
226,arrive,233.6396203964666
227,arrive,234.30113127856836
222,depart,234.48567768201806
223,start,234.48567768201806
228,arrive,234.6300262588264
229,arrive,234.68633316667245
230,arrive,234.73583583955698
223,depart,234.86087315022326
224,start,234.86087315022326
231,arrive,234.8880563440583
224,depart,235.15885863177147
225,start,235.15885863177147
225,depart,235.30164674409582
226,start,235.30164674409582
226,depart,235.35137887321002
227,start,235.35137887321002
227,depart,236.01726409338573
228,start,236.01726409338573
232,arrive,236.2674346922202
233,arrive,236.7719996389573
228,depart,237.3999035974524
229,start,237.3999035974524
234,arrive,237.59423364724282
229,depart,238.18561550767507
230,start,238.18561550767507
230,depart,238.8421273093048
231,start,238.8421273093048
231,depart,238.9739109754876
232,start,238.9739109754876
235,arrive,239.40393094277576
232,depart,239.7398032676709
233,start,239.7398032676709
233,depart,239.8561608644703
234,start,239.8561608644703
234,depart,240.01352816850957
235,start,240.01352816850957
235,depart,240.8652260896916
236,arrive,243.86998144921114
236,start,243.86998144921114
237,arrive,243.87286795745456
236,depart,244.06846165597756
237,start,244.06846165597756
238,arrive,244.30845642438746
239,arrive,245.03266547786552
237,depart,245.66802647744376
238,start,245.66802647744376
238,depart,246.03286215206202
239,start,246.03286215206202
239,depart,247.00487261518626
240,arrive,247.81789821755183
240,start,247.81789821755183
240,depart,248.01426387729907
241,arrive,249.15751764916266
241,start,249.15751764916266
242,arrive,249.3511760724027
243,arrive,249.9393565662804
241,depart,251.09941540008487
242,start,251.09941540008487
244,arrive,251.25281665786315
242,depart,251.51039773680935
243,start,251.51039773680935
245,arrive,251.81299645061608
243,depart,252.55878408236362
244,start,252.55878408236362
244,depart,252.61953965245021
245,start,252.61953965245021
246,arrive,253.0730884851787
245,depart,253.96968308194295
246,start,253.96968308194295
246,depart,254.40329806871327
247,arrive,254.807014525463
247,start,254.807014525463
248,arrive,254.8973842532663
249,arrive,255.10350726766347
247,depart,255.28739476828704
248,start,255.28739476828704
250,arrive,256.08903643454784
251,arrive,256.26844509525927
248,depart,256.5731215254559
249,start,256.5731215254559
252,arrive,257.14400028943385
249,depart,257.75946537853144
250,start,257.75946537853144
253,arrive,257.76494371556004
250,depart,257.93744946141595
251,start,257.93744946141595
